"No.","Time","Source","Destination","Protocol","Length","Info"
"25925","275.906225","192.168.234.129","4.153.29.52","TLSv1.3","134","Change Cipher Spec, Application Data"
"25927","275.909466","192.168.234.129","4.153.29.52","TLSv1.3","466","Application Data"
"25928","275.909590","192.168.234.129","4.153.29.52","TLSv1.3","9993","Application Data"
"25937","275.961288","4.153.29.52","192.168.234.129","TLSv1.3","628","Application Data, Application Data"
"25939","276.024288","4.153.29.52","192.168.234.129","TLSv1.3","422","Application Data"
"25961","280.748271","23.42.157.217","192.168.234.129","TLSv1.2","85","Encrypted Alert"
"25963","280.753389","23.47.166.48","192.168.234.129","TLSv1.2","85","Encrypted Alert"
"25970","288.179930","23.209.188.9","192.168.234.129","TLSv1.3","78","Application Data"
"25975","295.873959","13.107.246.38","192.168.234.129","TLSv1.3","117","Application Data, Application Data"
"25983","298.247702","192.168.234.129","23.209.188.9","TLSv1.3","803","Client Hello (SNI=assets.msn.com)"
"25986","298.272015","23.209.188.9","192.168.234.129","TLSv1.3","309","Server Hello, Change Cipher Spec, Application Data, Application Data"
"25988","298.277519","192.168.234.129","23.209.188.9","TLSv1.3","134","Change Cipher Spec, Application Data"
"25990","298.278892","192.168.234.129","23.209.188.9","TLSv1.3","380","Application Data"
"25992","298.298052","23.209.188.9","192.168.234.129","TLSv1.3","341","Application Data"
"25996","298.325493","23.209.188.9","192.168.234.129","TLSv1.3","988","Application Data"
"26012","311.321374","192.168.234.129","23.53.13.166","QUIC","1292","Initial, DCID=34427d8f98b0106f, PKN: 2, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PING, CRYPTO, PADDING"
"26015","311.356250","23.53.13.166","192.168.234.129","QUIC","1292","Initial, SCID=5050d65e2740662e, PKN: 3, CRYPTO, PADDING"
"26034","315.500701","23.34.82.19","192.168.234.129","TLSv1.3","78","Application Data"
"26051","333.110252","192.168.234.129","13.107.246.38","TLSv1.3","1860","Client Hello (SNI=xpaywalletcdn-prod.azureedge.net)"
"26054","333.128462","184.154.115.26","192.168.234.129","TLSv1.3","78","Application Data"
"26056","333.165321","13.107.246.38","192.168.234.129","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"26057","333.165710","192.168.234.129","13.107.246.38","TLSv1.3","674","Change Cipher Spec, Client Hello (SNI=xpaywalletcdn-prod.azureedge.net)"
"26059","333.201516","13.107.246.38","192.168.234.129","TLSv1.3","1514","Server Hello, Application Data"
"26063","333.201516","13.107.246.38","192.168.234.129","TLSv1.3","1207","Application Data, Application Data, Application Data"
"26065","333.204751","192.168.234.129","13.107.246.38","TLSv1.3","128","Application Data"
"26067","333.205101","192.168.234.129","13.107.246.38","TLSv1.3","146","Application Data"
"26069","333.205368","192.168.234.129","13.107.246.38","TLSv1.3","442","Application Data"
"26071","333.230350","13.107.246.38","192.168.234.129","TLSv1.3","722","Application Data, Application Data, Application Data"
"26072","333.230694","192.168.234.129","13.107.246.38","TLSv1.3","85","Application Data"
"26074","333.255927","13.107.246.38","192.168.234.129","TLSv1.3","1514","Application Data"
"26080","333.259681","13.107.246.38","192.168.234.129","TLSv1.3","1491","Application Data"
"26082","333.263685","192.168.234.129","13.107.246.38","TLSv1.3","196","Application Data"
"26084","333.346263","13.107.246.38","192.168.234.129","TLSv1.3","685","Application Data"
"26099","337.308548","192.168.234.129","15.204.43.235","SSL","415","Continuation Data"
"26101","337.414805","15.204.43.235","192.168.234.129","SSL","88","Continuation Data"
"26102","337.440683","192.168.234.129","15.204.43.235","SSL","662","Continuation Data"
"26104","337.523642","15.204.43.235","192.168.234.129","SSL","166","Continuation Data"
"26114","341.841185","192.168.234.129","15.204.43.235","SSL","2966","Continuation Data"
"26115","341.841281","192.168.234.129","15.204.43.235","SSL","2966","Continuation Data"
"26116","341.841344","192.168.234.129","15.204.43.235","SSL","2966","Continuation Data"
"26123","341.841582","192.168.234.129","15.204.43.235","SSL","2022","Continuation Data"
"26126","342.004051","15.204.43.235","192.168.234.129","SSL","166","Continuation Data"
"26161","398.179491","23.209.188.9","192.168.234.129","TLSv1.3","78","Application Data"
"26174","406.400193","192.168.234.129","134.33.4.18","TLSv1.2","263","Client Hello (SNI=fe2cr.update.microsoft.com)"
"26177","406.464196","134.33.4.18","192.168.234.129","TLSv1.2","1023","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"26179","406.479671","192.168.234.129","134.33.4.18","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"26181","406.538733","134.33.4.18","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
