"No.","Time","Source","Destination","Protocol","Length","Info"
"16649","202.600872","192.168.234.2","192.168.234.129","DNS","161","Standard query response 0x771d No such name PTR 250.255.255.239.in-addr.arpa SOA sns.dns.icann.org"
"16652","202.613355","192.168.234.129","192.168.234.2","DNS","86","Standard query 0xf168 PTR 232.168.11.51.in-addr.arpa"
"16653","202.613370","192.168.234.129","192.168.234.2","DNS","84","Standard query 0xe04c PTR 1.29.126.40.in-addr.arpa"
"16654","202.624051","192.168.234.2","192.168.234.129","DNS","175","Standard query response 0xf168 No such name PTR 232.168.11.51.in-addr.arpa SOA ns1-01.azure-dns.com"
"16655","202.624051","192.168.234.2","192.168.234.129","DNS","175","Standard query response 0xf168 No such name PTR 232.168.11.51.in-addr.arpa SOA ns1-01.azure-dns.com"
"16656","202.633163","192.168.234.2","192.168.234.129","DNS","173","Standard query response 0xe04c No such name PTR 1.29.126.40.in-addr.arpa SOA ns1-02.azure-dns.com"
"16657","202.633163","192.168.234.2","192.168.234.129","DNS","173","Standard query response 0xe04c No such name PTR 1.29.126.40.in-addr.arpa SOA ns1-02.azure-dns.com"
"16681","203.383945","192.168.234.129","192.168.234.2","DNS","96","Standard query 0xa57f A functional.events.data.microsoft.com"
"16682","203.384143","192.168.234.129","192.168.234.2","DNS","96","Standard query 0x9eb0 HTTPS functional.events.data.microsoft.com"
"16689","203.412083","192.168.234.2","192.168.234.129","DNS","287","Standard query response 0x9eb0 HTTPS functional.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdeus09.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"16690","203.412083","192.168.234.2","192.168.234.129","DNS","226","Standard query response 0xa57f A functional.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdeus20.eastus.cloudapp.azure.com A 20.42.65.93"
"16798","205.467935","192.168.234.129","192.168.234.2","DNS","70","Standard query 0x323f A g.live.com"
